Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,117.0811,-95.0662,0.0,top
C2,16p,C_0805_2012Metric,105.9686,-102.3687,90.0,top
C3,16p,C_0805_2012Metric,105.9686,-98.2412,-90.0,top
C4,100n,C_0805_2012Metric,111.3661,-107.1312,-90.0,top
C5,100n,C_0805_2012Metric,106.9211,-95.0662,180.0,top
C6,10u,CP_Elec_4x5.3,117.7161,-104.2737,0.0,top
C7,100n,C_0805_2012Metric,113.9061,-109.0362,-90.0,top
C8,100n,C_0805_2012Metric,116.1286,-109.0362,-90.0,top
D1,"PMEG3005EH,115",D_SOD-123,148.8311,-90.9387,180.0,top
D2,"PMEG3005EH,115",D_SOD-123,167.8811,-90.9387,180.0,top
D3,"PMEG3005EH,115",D_SOD-123,186.2961,-90.9387,180.0,top
J1,USB_A_SMT_FEMALE_NS,USB_A_TE_292303-7_Horizontal,107.889,-118.1166,0.0,top
R1,33R,R_0805_2012Metric,109.1436,-107.1312,-90.0,top
R2,33R,R_0805_2012Metric,106.9211,-107.1312,-90.0,top
R3,2k,R_0805_2012Metric,132.3211,-104.5912,0.0,top
R4,2k,R_0805_2012Metric,132.3211,-102.0512,0.0,top
SW1,TL3305AF160QG,TL3305AF160QG,109.4611,-91.2562,0.0,top
U1,MAX3421ETQFP32-5MM,TQFP32-5MM,112.0011,-99.5112,90.0,top
U2,"74HC4050PW,118",TSSOP-16_4.4x5mm_P0.65mm,131.511,-111.0046,0.0,top
U3,MIC5219-3.3YMM,MSOP-8_3x3mm_P0.65mm,119.065,-110.4966,-90.0,top
U4,ARDUINO_LEONARDO_MICRO,ARDUINO_LEONARDO_MICRO,121.2086,-121.1012,0.0,top
U5,ARDUINO_LEONARDO_MICRO,ARDUINO_LEONARDO_MICRO,139.9411,-121.1012,0.0,top
U6,ARDUINO_LEONARDO_MICRO,ARDUINO_LEONARDO_MICRO,158.6736,-121.1012,0.0,top
U7,ARDUINO_LEONARDO_MICRO,ARDUINO_LEONARDO_MICRO,177.4061,-121.1012,0.0,top
Y1,12MHz,XTAL_ECS-250-18-5PX-JEM-TR,102.1586,-99.5112,90.0,top
